Model,MAE,MSE,RMSE,R2 Score
XGBoost,3.2585390731469905,22.12469265933165,4.703689260498789,0.9258369199879204
Random Forest,3.505697934533687,26.88956021553658,5.185514460064361,0.9098648448382689
Gradient Boosting,3.9935341044828445,29.317163568030672,5.414532626924569,0.9017273965834713
Decision Tree,3.8489303482587065,37.858737437810944,6.152945427826493,0.873095612355435
Linear Regression,8.895256221464193,125.2456480505019,11.191320210346136,0.5801703029028777
